desc,municipio,aglomeracion_urbana,estado
Tasa de desempleo,73.66,70.53,San Francisco de los Romo
Relación empleo-población,55.52,58.39,San Francisco de los Romo
INFRAESTRUCTURA DE DESARROLLO,51.66,63.29,San Francisco de los Romo
Infraestructura de vivienda,77.68,84.15,San Francisco de los Romo
Vivienda durable,100.0,100.0,San Francisco de los Romo
Acceso a agua mejorada,98.42,98.95,San Francisco de los Romo
Espacio habitable suﬁciente,100.0,100.0,San Francisco de los Romo
Densidad poblacional,12.31,37.66,San Francisco de los Romo
Infraestructura social,27.9,67.05,San Francisco de los Romo
Densidad de médicos,27.9,67.05,San Francisco de los Romo
Infraestructura de comunicaciones,25.92,34.46,San Francisco de los Romo
Acceso a Internet,8.4,25.47,San Francisco de los Romo
Velocidad de banda ancha promedio,43.44,43.44,San Francisco de los Romo
Movilidad urbana,38.82,41.65,San Francisco de los Romo
Longitud de transporte masivo,0.0,0.0,San Francisco de los Romo
Fatalidades de tránsito,77.64,83.3,San Francisco de los Romo
Forma urbana,88.0,89.14,San Francisco de los Romo
Densidad de la interconexión vial,100.0,100.0,San Francisco de los Romo
Densidad vial,87.82,85.28,San Francisco de los Romo
Superﬁcie destinada a vías,76.19,82.16,San Francisco de los Romo
CALIDAD DE VIDA,62.71,67.81,San Francisco de los Romo
Salud,64.17,66.91,San Francisco de los Romo
Esperanza de vida al nacer,73.16,73.16,San Francisco de los Romo
Tasa de mortalidad de menores de 5 años,55.17,60.65,San Francisco de los Romo
Educación,75.79,81.94,San Francisco de los Romo
Tasa de alfabetización,94.02,96.22,San Francisco de los Romo
Promedio de años de escolaridad,57.57,67.66,San Francisco de los Romo
Seguridad y protección,51.93,61.39,San Francisco de los Romo
Tasa de homicidios,51.93,61.39,San Francisco de los Romo
Espacio público,58.96,61.0,San Francisco de los Romo
Accesibilidad al espacio público abierto,100.0,74.33,San Francisco de los Romo
Áreas verdes per cápita,17.93,47.68,San Francisco de los Romo
EQUIDAD E INCLUSIÓN SOCIAL,72.67,72.43,San Francisco de los Romo
Equidad económica,47.86,48.56,San Francisco de los Romo
Coeﬁciente de Gini,60.7,53.69,San Francisco de los Romo
Tasa de pobreza,35.02,43.43,San Francisco de los Romo
Inclusión social,82.93,79.52,San Francisco de los Romo
Viviendas en barrios precarios,96.33,95.1,San Francisco de los Romo
Desempleo juvenil,69.52,63.94,San Francisco de los Romo
Inclusión de género,87.23,89.22,San Francisco de los Romo
Inscripción equitativa en educación a nivel secundario,87.23,89.22,San Francisco de los Romo
SOSTENIBILIDAD AMBIENTAL,30.7,33.27,San Francisco de los Romo
Calidad del aire,56.75,57.83,San Francisco de los Romo
Número de estaciones de monitoreo,,60.0,San Francisco de los Romo
Concentraciones de material particulado,67.43,67.43,San Francisco de los Romo
Concentración de CO2,46.08,46.08,San Francisco de los Romo
Manejo de residuos,35.36,41.97,San Francisco de los Romo
Recolección de residuos sólidos,2.24,3.64,San Francisco de los Romo
Tratamiento de aguas residuales,68.48,80.3,San Francisco de los Romo
Energía,0.0,0.0,San Francisco de los Romo
Proporción de generación de energía renovable,0.0,0.0,San Francisco de los Romo
GOBERNANZA Y LEGISLACIÓN URBANA,29.81,29.4,San Francisco de los Romo
Participación y rendición de cuentas,52.23,45.21,San Francisco de los Romo
Participación electoral,52.23,45.21,San Francisco de los Romo
Capacidad institucional y ﬁnanzas municipales,37.2,43.0,San Francisco de los Romo
Recaudación de ingresos propios,11.61,24.46,San Francisco de los Romo
Deuda subnacional,0.0,12.87,San Francisco de los Romo
Eﬁciencia del gasto local,100.0,91.68,San Francisco de los Romo
Gobernanza de la urbanización,0.0,0.0,San Francisco de los Romo
Eﬁciencia en el uso de suelo,0.0,0.0,San Francisco de los Romo
PRODUCTIVIDAD,59.08,,Mexicali
Crecimiento económico,51.07,,Mexicali
Producto urbano per cápita,40.55,,Mexicali
Relación de dependencia de la tercera edad,61.6,,Mexicali
Aglomeración económica,55.86,,Mexicali
Densidad económica,55.86,,Mexicali
Empleo,70.31,,Mexicali
Tasa de desempleo,77.89,,Mexicali
Relación empleo-población,62.73,,Mexicali
INFRAESTRUCTURA DE DESARROLLO,57.87,,Mexicali
Infraestructura de vivienda,59.52,,Mexicali
Vivienda durable,29.52,,Mexicali
Acceso a agua mejorada,95.59,,Mexicali
Espacio habitable suﬁciente,100.0,,Mexicali
Densidad poblacional,12.96,,Mexicali
Infraestructura social,59.54,,Mexicali
Densidad de médicos,59.54,,Mexicali
Infraestructura de comunicaciones,40.7,,Mexicali
Acceso a Internet,37.96,,Mexicali
Velocidad de banda ancha promedio,43.44,,Mexicali
Movilidad urbana,49.66,,Mexicali
Longitud de transporte masivo,0.0,,Mexicali
Fatalidades de tránsito,99.33,,Mexicali
Forma urbana,79.94,,Mexicali
Densidad de la interconexión vial,95.5,,Mexicali
Densidad vial,75.59,,Mexicali
Superﬁcie destinada a vías,68.72,,Mexicali
CALIDAD DE VIDA,59.45,,Mexicali
Salud,62.0,,Mexicali
Esperanza de vida al nacer,66.38,,Mexicali
Tasa de mortalidad de menores de 5 años,57.62,,Mexicali
Educación,85.32,,Mexicali
Tasa de alfabetización,96.22,,Mexicali
Promedio de años de escolaridad,74.43,,Mexicali
Seguridad y protección,60.72,,Mexicali
Tasa de homicidios,60.72,,Mexicali
Espacio público,29.74,,Mexicali
Accesibilidad al espacio público abierto,42.9,,Mexicali
Áreas verdes per cápita,16.58,,Mexicali
EQUIDAD E INCLUSIÓN SOCIAL,74.23,,Mexicali
Equidad económica,48.49,,Mexicali
Coeﬁciente de Gini,48.62,,Mexicali
Tasa de pobreza,48.37,,Mexicali
Inclusión social,82.18,,Mexicali
Viviendas en barrios precarios,94.85,,Mexicali
Desempleo juvenil,69.51,,Mexicali
Inclusión de género,92.0,,Mexicali
Inscripción equitativa en educación a nivel secundario,92.0,,Mexicali
SOSTENIBILIDAD AMBIENTAL,77.69,,Mexicali
Calidad del aire,35.36,,Mexicali
Número de estaciones de monitoreo,60.0,,Mexicali
Concentraciones de material particulado,0.0,,Mexicali
Concentración de CO2,46.08,,Mexicali
Manejo de residuos,97.71,,Mexicali
Recolección de residuos sólidos,95.51,,Mexicali
Tratamiento de aguas residuales,99.91,,Mexicali
Energía,100.0,,Mexicali
Proporción de generación de energía renovable,100.0,,Mexicali
GOBERNANZA Y LEGISLACIÓN URBANA,29.64,,Mexicali
Participación y rendición de cuentas,22.34,,Mexicali
Participación electoral,22.34,,Mexicali
Capacidad institucional y ﬁnanzas municipales,66.59,,Mexicali
Recaudación de ingresos propios,40.7,,Mexicali
Deuda subnacional,59.07,,Mexicali
Eﬁciencia del gasto local,100.0,,Mexicali
Gobernanza de la urbanización,0.0,,Mexicali
Eﬁciencia en el uso de suelo,0.0,,Mexicali
PRODUCTIVIDAD,64.28,61.98,Tijuana
Crecimiento económico,57.58,56.98,Tijuana
Producto urbano per cápita,40.81,40.5,Tijuana
Relación de dependencia de la tercera edad,74.34,73.46,Tijuana
Aglomeración económica,65.38,64.49,Tijuana
Densidad económica,65.38,64.49,Tijuana
Empleo,69.88,69.49,Tijuana
Tasa de desempleo,72.91,73.05,Tijuana
Relación empleo-población,66.86,65.92,Tijuana
INFRAESTRUCTURA DE DESARROLLO,57.15,56.7,Tijuana
Infraestructura de vivienda,67.14,64.98,Tijuana
Vivienda durable,36.6,32.91,Tijuana
Acceso a agua mejorada,96.61,94.64,Tijuana
Espacio habitable suﬁciente,100.0,100.0,Tijuana
Densidad poblacional,35.34,32.35,Tijuana
Infraestructura social,50.38,51.52,Tijuana
Densidad de médicos,50.38,51.52,Tijuana
Infraestructura de comunicaciones,40.71,40.32,Tijuana
Acceso a Internet,37.98,37.19,Tijuana
Velocidad de banda ancha promedio,43.44,43.44,Tijuana
Movilidad urbana,46.78,46.61,Tijuana
Longitud de transporte masivo,0.0,0.0,Tijuana
Fatalidades de tránsito,93.56,93.22,Tijuana
Forma urbana,80.76,80.1,Tijuana
Densidad de la interconexión vial,100.0,100.0,Tijuana
Densidad vial,74.65,71.94,Tijuana
Superﬁcie destinada a vías,67.64,68.35,Tijuana
CALIDAD DE VIDA,58.05,57.94,Tijuana
Salud,60.72,60.9,Tijuana
Esperanza de vida al nacer,66.38,66.38,Tijuana
Tasa de mortalidad de menores de 5 años,55.06,55.42,Tijuana
Educación,85.63,86.51,Tijuana
Tasa de alfabetización,96.26,96.16,Tijuana
Promedio de años de escolaridad,75.0,76.86,Tijuana
Seguridad y protección,49.73,49.35,Tijuana
Tasa de homicidios,49.73,49.35,Tijuana
Espacio público,36.12,34.99,Tijuana
Accesibilidad al espacio público abierto,44.48,38.73,Tijuana
Áreas verdes per cápita,27.75,31.26,Tijuana
EQUIDAD E INCLUSIÓN SOCIAL,72.66,72.55,Tijuana
Equidad económica,47.52,46.83,Tijuana
Coeﬁciente de Gini,49.15,47.1,Tijuana
Tasa de pobreza,45.88,46.56,Tijuana
Inclusión social,81.44,81.52,Tijuana
Viviendas en barrios precarios,93.54,93.42,Tijuana
Desempleo juvenil,69.33,69.61,Tijuana
Inclusión de género,89.03,89.3,Tijuana
Inscripción equitativa en educación a nivel secundario,89.03,89.3,Tijuana
SOSTENIBILIDAD AMBIENTAL,34.72,39.91,Tijuana
Calidad del aire,38.93,45.71,Tijuana
Número de estaciones de monitoreo,40.0,60.0,Tijuana
Concentraciones de material particulado,30.7,31.05,Tijuana
Concentración de CO2,46.08,46.08,Tijuana
Manejo de residuos,65.22,74.03,Tijuana
Recolección de residuos sólidos,90.25,89.93,Tijuana
Tratamiento de aguas residuales,40.2,58.13,Tijuana
Energía,0.0,0.0,Tijuana
Proporción de generación de energía renovable,0.0,0.0,Tijuana
GOBERNANZA Y LEGISLACIÓN URBANA,59.53,58.73,Tijuana
Participación y rendición de cuentas,38.22,38.74,Tijuana
Participación electoral,38.22,38.74,Tijuana
Capacidad institucional y ﬁnanzas municipales,74.13,71.21,Tijuana
Recaudación de ingresos propios,52.38,48.44,Tijuana
Deuda subnacional,80.01,73.64,Tijuana
Eﬁciencia del gasto local,90.0,91.54,Tijuana
Gobernanza de la urbanización,66.24,66.24,Tijuana
Eﬁciencia en el uso de suelo,66.24,66.24,Tijuana
PRODUCTIVIDAD,60.26,,La Paz
Crecimiento económico,48.34,,La Paz
Producto urbano per cápita,34.21,,La Paz
Relación de dependencia de la tercera edad,62.47,,La Paz
Aglomeración económica,61.28,,La Paz
Densidad económica,61.28,,La Paz
Empleo,71.16,,La Paz
Tasa de desempleo,78.15,,La Paz
Relación empleo-población,64.16,,La Paz
INFRAESTRUCTURA DE DESARROLLO,74.05,,La Paz
Infraestructura de vivienda,78.81,,La Paz
Vivienda durable,90.41,,La Paz
Acceso a agua mejorada,93.92,,La Paz
Espacio habitable suﬁciente,100.0,,La Paz
Densidad poblacional,30.91,,La Paz
Infraestructura social,75.13,,La Paz
Densidad de médicos,75.13,,La Paz
Infraestructura de comunicaciones,42.16,,La Paz
Acceso a Internet,40.88,,La Paz
Velocidad de banda ancha promedio,43.44,,La Paz
Movilidad urbana,86.42,,La Paz
Longitud de transporte masivo,,,La Paz
Fatalidades de tránsito,86.42,,La Paz
Forma urbana,87.74,,La Paz
Densidad de la interconexión vial,100.0,,La Paz
Densidad vial,74.83,,La Paz
Superﬁcie destinada a vías,88.39,,La Paz
CALIDAD DE VIDA,64.22,,La Paz
Salud,65.58,,La Paz
Esperanza de vida al nacer,74.03,,La Paz
Tasa de mortalidad de menores de 5 años,57.13,,La Paz
Educación,88.31,,La Paz
Tasa de alfabetización,96.9,,La Paz
Promedio de años de escolaridad,79.71,,La Paz
Seguridad y protección,57.71,,La Paz
Tasa de homicidios,57.71,,La Paz
Espacio público,45.27,,La Paz
Accesibilidad al espacio público abierto,81.34,,La Paz
Áreas verdes per cápita,9.21,,La Paz
EQUIDAD E INCLUSIÓN SOCIAL,72.85,,La Paz
Equidad económica,48.2,,La Paz
Coeﬁciente de Gini,48.64,,La Paz
Tasa de pobreza,47.77,,La Paz
Inclusión social,81.08,,La Paz
Viviendas en barrios precarios,89.98,,La Paz
Desempleo juvenil,72.18,,La Paz
Inclusión de género,89.26,,La Paz
Inscripción equitativa en educación a nivel secundario,89.26,,La Paz
SOSTENIBILIDAD AMBIENTAL,46.92,,La Paz
Calidad del aire,45.36,,La Paz
Número de estaciones de monitoreo,25.0,,La Paz
Concentraciones de material particulado,65.0,,La Paz
Concentración de CO2,46.08,,La Paz
Manejo de residuos,95.4,,La Paz
Recolección de residuos sólidos,93.39,,La Paz
Tratamiento de aguas residuales,97.41,,La Paz
Energía,0.0,,La Paz
Proporción de generación de energía renovable,0.0,,La Paz
GOBERNANZA Y LEGISLACIÓN URBANA,71.32,,La Paz
Participación y rendición de cuentas,55.21,,La Paz
Participación electoral,55.21,,La Paz
Capacidad institucional y ﬁnanzas municipales,58.75,,La Paz
Recaudación de ingresos propios,30.16,,La Paz
Deuda subnacional,46.09,,La Paz
Eﬁciencia del gasto local,100.0,,La Paz
Gobernanza de la urbanización,100.0,,La Paz
Eﬁciencia en el uso de suelo,100.0,,La Paz
PRODUCTIVIDAD,58.71,,Campeche
Crecimiento económico,43.06,,Campeche
Producto urbano per cápita,29.54,,Campeche
Relación de dependencia de la tercera edad,56.57,,Campeche
Aglomeración económica,56.87,,Campeche
Densidad económica,56.87,,Campeche
Empleo,76.19,,Campeche
Tasa de desempleo,91.64,,Campeche
Relación empleo-población,60.73,,Campeche
INFRAESTRUCTURA DE DESARROLLO,70.7,,Campeche
Infraestructura de vivienda,76.03,,Campeche
Vivienda durable,82.1,,Campeche
Acceso a agua mejorada,96.83,,Campeche
Espacio habitable suﬁciente,100.0,,Campeche
Densidad poblacional,25.19,,Campeche
Infraestructura social,83.34,,Campeche
Densidad de médicos,83.34,,Campeche
Infraestructura de comunicaciones,36.79,,Campeche
Acceso a Internet,30.14,,Campeche
Velocidad de banda ancha promedio,43.44,,Campeche
Movilidad urbana,91.33,,Campeche
Longitud de transporte masivo,,,Campeche
Fatalidades de tránsito,91.33,,Campeche
Forma urbana,66.0,,Campeche
Densidad de la interconexión vial,100.0,,Campeche
Densidad vial,51.81,,Campeche
Superﬁcie destinada a vías,46.18,,Campeche
CALIDAD DE VIDA,70.99,,Campeche
Salud,63.95,,Campeche
Esperanza de vida al nacer,71.25,,Campeche
Tasa de mortalidad de menores de 5 años,56.64,,Campeche
Educación,83.49,,Campeche
Tasa de alfabetización,93.7,,Campeche
Promedio de años de escolaridad,73.29,,Campeche
Seguridad y protección,71.69,,Campeche
Tasa de homicidios,71.69,,Campeche
Espacio público,64.83,,Campeche
Accesibilidad al espacio público abierto,62.85,,Campeche
Áreas verdes per cápita,66.81,,Campeche
EQUIDAD E INCLUSIÓN SOCIAL,70.89,,Campeche
Equidad económica,45.57,,Campeche
Coeﬁciente de Gini,46.69,,Campeche
Tasa de pobreza,44.45,,Campeche
Inclusión social,84.53,,Campeche
Viviendas en barrios precarios,84.34,,Campeche
Desempleo juvenil,84.73,,Campeche
Inclusión de género,82.56,,Campeche
Inscripción equitativa en educación a nivel secundario,82.56,,Campeche
SOSTENIBILIDAD AMBIENTAL,28.23,,Campeche
Calidad del aire,32.03,,Campeche
Número de estaciones de monitoreo,25.0,,Campeche
Concentraciones de material particulado,25.0,,Campeche
Concentración de CO2,46.08,,Campeche
Manejo de residuos,52.68,,Campeche
Recolección de residuos sólidos,91.34,,Campeche
Tratamiento de aguas residuales,14.01,,Campeche
Energía,0.0,,Campeche
Proporción de generación de energía renovable,0.0,,Campeche
GOBERNANZA Y LEGISLACIÓN URBANA,33.71,,Campeche
Participación y rendición de cuentas,57.1,,Campeche
Participación electoral,57.1,,Campeche
Capacidad institucional y ﬁnanzas municipales,44.04,,Campeche
Recaudación de ingresos propios,17.42,,Campeche
Deuda subnacional,14.7,,Campeche
Eﬁciencia del gasto local,100.0,,Campeche
Gobernanza de la urbanización,0.0,,Campeche
Eﬁciencia en el uso de suelo,0.0,,Campeche
PRODUCTIVIDAD,62.6,,Acuña
Crecimiento económico,57.49,,Acuña
Producto urbano per cápita,41.09,,Acuña
Relación de dependencia de la tercera edad,73.9,,Acuña
Aglomeración económica,62.48,,Acuña
Densidad económica,62.48,,Acuña
Empleo,67.83,,Acuña
Tasa de desempleo,72.44,,Acuña
Relación empleo-población,63.22,,Acuña
INFRAESTRUCTURA DE DESARROLLO,59.52,,Acuña
Infraestructura de vivienda,75.93,,Acuña
Vivienda durable,80.15,,Acuña
Acceso a agua mejorada,97.25,,Acuña
Espacio habitable suﬁciente,100.0,,Acuña
Densidad poblacional,26.3,,Acuña
Infraestructura social,49.97,,Acuña
Densidad de médicos,49.97,,Acuña
Infraestructura de comunicaciones,29.51,,Acuña
Acceso a Internet,15.57,,Acuña
Velocidad de banda ancha promedio,43.44,,Acuña
Movilidad urbana,68.29,,Acuña
Longitud de transporte masivo,,,Acuña
Fatalidades de tránsito,68.29,,Acuña
Forma urbana,73.9,,Acuña
Densidad de la interconexión vial,100.0,,Acuña
Densidad vial,60.94,,Acuña
Superﬁcie destinada a vías,60.76,,Acuña
CALIDAD DE VIDA,60.89,,Acuña
Salud,63.21,,Acuña
Esperanza de vida al nacer,71.98,,Acuña
Tasa de mortalidad de menores de 5 años,54.44,,Acuña
Educación,79.87,,Acuña
Tasa de alfabetización,96.17,,Acuña
Promedio de años de escolaridad,63.57,,Acuña
Seguridad y protección,54.52,,Acuña
Tasa de homicidios,54.52,,Acuña
Espacio público,45.94,,Acuña
Accesibilidad al espacio público abierto,78.43,,Acuña
Áreas verdes per cápita,13.45,,Acuña
EQUIDAD E INCLUSIÓN SOCIAL,69.95,,Acuña
Equidad económica,50.72,,Acuña
Coeﬁciente de Gini,58.95,,Acuña
Tasa de pobreza,42.48,,Acuña
Inclusión social,78.29,,Acuña
Viviendas en barrios precarios,90.98,,Acuña
Desempleo juvenil,65.6,,Acuña
Inclusión de género,80.85,,Acuña
Inscripción equitativa en educación a nivel secundario,80.85,,Acuña
SOSTENIBILIDAD AMBIENTAL,87.13,,Acuña
Calidad del aire,80.36,,Acuña
Número de estaciones de monitoreo,100.0,,Acuña
Concentraciones de material particulado,95.0,,Acuña
Concentración de CO2,46.08,,Acuña
Manejo de residuos,81.02,,Acuña
Recolección de residuos sólidos,97.63,,Acuña
Tratamiento de aguas residuales,64.42,,Acuña
Energía,100.0,,Acuña
Proporción de generación de energía renovable,100.0,,Acuña
GOBERNANZA Y LEGISLACIÓN URBANA,56.46,,Acuña
Participación y rendición de cuentas,54.89,,Acuña
Participación electoral,54.89,,Acuña
Capacidad institucional y ﬁnanzas municipales,52.25,,Acuña
Recaudación de ingresos propios,38.13,,Acuña
Deuda subnacional,18.63,,Acuña
Eﬁciencia del gasto local,100.0,,Acuña
Gobernanza de la urbanización,62.24,,Acuña
Eﬁciencia en el uso de suelo,62.24,,Acuña
PRODUCTIVIDAD,60.75,59.67,Piedras Negras
Crecimiento económico,52.95,55.75,Piedras Negras
Producto urbano per cápita,43.28,48.48,Piedras Negras
Relación de dependencia de la tercera edad,62.61,63.02,Piedras Negras
Aglomeración económica,63.36,62.22,Piedras Negras
Densidad económica,63.36,62.22,Piedras Negras
Empleo,65.94,64.97,Piedras Negras
Tasa de desempleo,75.55,75.86,Piedras Negras
Relación empleo-población,56.33,54.08,Piedras Negras
INFRAESTRUCTURA DE DESARROLLO,66.65,64.33,Piedras Negras
Infraestructura de vivienda,74.28,72.34,Piedras Negras
Vivienda durable,73.95,74.79,Piedras Negras
Acceso a agua mejorada,97.56,96.93,Piedras Negras
Espacio habitable suﬁciente,100.0,100.0,Piedras Negras
Densidad poblacional,25.59,17.62,Piedras Negras
Infraestructura social,59.29,55.41,Piedras Negras
Densidad de médicos,59.29,55.41,Piedras Negras
Infraestructura de comunicaciones,35.07,34.54,Piedras Negras
Acceso a Internet,26.7,25.64,Piedras Negras
Velocidad de banda ancha promedio,43.44,43.44,Piedras Negras
Movilidad urbana,97.01,96.21,Piedras Negras
Longitud de transporte masivo,,,Piedras Negras
Fatalidades de tránsito,97.01,96.21,Piedras Negras
Forma urbana,67.59,63.16,Piedras Negras
Densidad de la interconexión vial,95.08,89.0,Piedras Negras
Densidad vial,50.01,47.1,Piedras Negras
Superﬁcie destinada a vías,57.68,53.36,Piedras Negras
CALIDAD DE VIDA,60.74,58.69,Piedras Negras
Salud,65.29,64.57,Piedras Negras
